,Unnamed: 0,Unnamed: 0.1,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,name,gender,publish_date,total_pronouns,female_mentions,male_mentions,total,male_skewness,male_skewness_log
474,474,474,PG17069_text,A Great Emergency and Other Tales,"Ewing, Juliana Horatia",1841.0,1885.0,['en'],32,"{'Great Britain -- Social life and customs -- 19th century -- Juvenile fiction', 'Family -- Juvenile fiction', ""Children's stories"", 'Children -- Conduct of life -- Juvenile fiction'}",juliana,F,1891,9004,892,1517,2409,1.7006726457399104,0.531023846768523
475,475,475,PG17087_text,Ancient Art and Ritual,"Harrison, Jane Ellen",1850.0,1928.0,['en'],105,"{'Aesthetics', 'Ritual', 'Art, Primitive'}",jane,F,1900,3702,105,848,953,8.076190476190476,2.0889202856343796
476,476,476,PG1709_text,New Grub Street,"Gissing, George",1857.0,1903.0,['en'],216,"{'Man-woman relationships -- Fiction', 'Authors -- Fiction', 'London (England) -- Fiction', 'Psychological fiction', 'Journalists -- Fiction', 'Authors and publishers -- Fiction'}",george,M,1907,28146,3600,6603,10203,1.8341666666666667,0.60659024575037
477,477,477,PG17101_text,Anglo-Saxon Literature,"Earle, John",1824.0,1903.0,['en'],43,"{'English literature -- Old English, ca. 450-1100 -- History and criticism', 'Civilization, Medieval, in literature', 'Civilization, Anglo-Saxon, in literature'}",john,M,1874,4578,110,1524,1634,13.854545454545455,2.6286133704541754
478,478,478,PG1710_text,La Grande Breteche,"Balzac, Honoré de",1799.0,1850.0,['en'],70,"{'French fiction -- Translations into English', 'Horror tales'}",honor,F,1849,1047,168,239,407,1.4226190476190477,0.3524995725282518
479,479,479,PG1712_text,The Rescue: A Romance of the Shallows,"Conrad, Joseph",1857.0,1924.0,['en'],65,"{'Rescues -- Fiction', 'Love stories', 'Malay Archipelago -- Fiction', 'Lingard, Tom (Fictitious character) -- Fiction', 'Yachting -- Fiction', 'Sea stories'}",joseph,M,1907,17195,2140,5083,7223,2.3752336448598133,0.8650958094310054
480,480,480,PG17135_text,Twas the Night before Christmas: A Visit from St. Nicholas,"Moore, Clement Clarke",1779.0,1863.0,['en'],400,"{'Santa Claus -- Juvenile poetry', 'Narrative poetry', ""Children's poetry, American"", 'Christmas -- Juvenile poetry'}",clement,M,1829,122,1,50,51,50.0,3.912023005428146
481,481,481,PG1714_text,Another Study of Woman,"Balzac, Honoré de",1799.0,1850.0,['en'],36,{'French fiction -- Translations into English'},honor,F,1849,1731,397,186,583,0.46851385390428213,-0.7581896069739892
482,482,482,PG17159_text,Women of Modern France,"Thieme, Hugo P. (Hugo Paul)",1870.0,1940.0,['en'],120,"{'Women -- France', 'France -- Social life and customs'}",hugo,M,1920,10926,5724,1066,6790,0.1862334032145353,-1.6807545359505516
483,483,483,PG1715_text,Eugenie Grandet,"Balzac, Honoré de",1799.0,1850.0,['en'],305,"{'France -- Social life and customs -- 19th century -- Fiction', 'Fathers and daughters -- Fiction', 'Misers -- Fiction', 'French fiction -- Translations into English'}",honor,F,1849,8368,1469,2112,3581,1.437712729748128,0.36305346865227484
484,484,484,PG17164_text,"Narrative of a Mission to Central Africa Performed in the Years 1850-51, Volume 1: Under the Orders and at the Expense of Her Majesty's Government","Richardson, James",1806.0,1851.0,['en'],12,"{'Africa, North -- Description and travel', 'Africa, Central -- Description and travel', 'Richardson, James, 1806-1851'}",james,M,1856,7497,85,1082,1167,12.729411764705882,2.5439152029161103
485,485,485,PG1716_text,"The Copy-Cat, and Other Stories","Freeman, Mary Eleanor Wilkins",1852.0,1930.0,['en'],113,"{'Short stories', 'New England -- Social life and customs -- Fiction'}",mary,F,1902,11270,3099,2452,5551,0.7912229751532752,-0.23417546073164625
486,486,486,PG17170_text,"A Study of Pueblo Pottery as Illustrative of Zuñi Culture Growth.: Fourth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1882-83, Government Printing Office, Washington, 1886, pages 467-522","Cushing, Frank Hamilton",1857.0,1900.0,['en'],41,"{'Zuni Indians', 'Indian pottery -- North America'}",frank,M,1907,623,44,44,88,1.0,0.0
487,487,487,PG17211_text,A School History of the Great War,"Gerson, Armand Jacques",1881.0,,['en'],49,"{'World War, 1914-1918'}",armand,M,1931,1520,326,109,435,0.3343558282208589,-1.095549499137564
488,488,488,PG17212_text,"Michelangelo: A Collection of Fifteen Pictures and a Portrait of the Master, with Introduction and Interpretation","Hurll, Estelle M. (Estelle May)",1863.0,1924.0,['en'],36,"{'Michelangelo Buonarroti, 1475-1564'}",estelle,F,1913,1499,157,698,855,4.445859872611465,1.4919732974140645
489,489,489,PG17260_text,Tempest and Sunshine,"Holmes, Mary Jane",1825.0,1907.0,['en'],29,{'United States -- Social life and customs -- 19th century -- Fiction'},mary,F,1875,14979,4048,3336,7384,0.8241106719367589,-0.19345044748866408
490,490,490,PG17262_text,Catalogue Of Linguistic Manuscripts In The Library Of The Bureau Of Ethnology. (1881 N 01 / 1879-1880 (Pages 553-578)),"Pilling, James Constantine",1846.0,1895.0,['en'],16,{'Indians of North America -- Languages -- Bibliography'},james,M,1896,77,1,19,19,19.0,2.9444389791664403
