,Unnamed: 0,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,name,gender,publish_date
9464,9464,PG65069_text,The Brave Walk Alone,"McGreevey, John",1922.0,2010.0,['en'],18,"{'Space ships -- Fiction', 'Short stories', 'Fathers and sons -- Fiction', 'Courage -- Fiction', 'Science fiction', 'Cowardice -- Fiction'}",john,M,1972
9465,9465,PG6506_text,Old Mission Stories of California,"Carter, Charles Franklin",1890.0,1957.0,['en'],6,"{'California -- History -- To 1846 -- Fiction', 'California -- Social life and customs -- Fiction', 'Historical fiction, American', 'Missions, Spanish -- Fiction', 'Short stories, American'}",charles,M,1940
9466,9466,PG65070_text,"""What So Proudly We Hail...""","Keene, Day",1904.0,1969.0,['en'],13,"{'Short stories', 'New York (N.Y.) -- Fiction', 'Science fiction', 'Time travel -- Fiction'}",day,F,1954
9467,9467,PG65071_text,"Matthew Fontaine Maury, the Pathfinder of the Seas","Lewis, Charles Lee",1886.0,1951.0,['en'],16,"{'Maury, Matthew Fontaine, 1806-1873'}",charles,M,1936
9468,9468,PG65072_text,The Time Armada,"Holden, Fox B.",1923.0,,['en'],15,"{'Adventure stories', 'Inventions -- Fiction', 'Science fiction', 'Families -- Fiction'}",fox,M,1973
9469,9469,PG65075_text,Look to the Stars,"Hawkins, Willard E.",1887.0,1970.0,['en'],15,"{'Space colonies -- Fiction', 'Legends -- Fiction', 'Science fiction', 'Space flight -- Fiction'}",willard,M,1937
9470,9470,PG65077_text,Tourists to Terra,"Reynolds, Mack",1917.0,1983.0,['en'],22,"{'Human-alien encounters -- Fiction', 'World War, 1939-1945 -- Fiction', 'Short stories', 'Trojan War -- Fiction', 'Tourists -- Fiction', 'Science fiction'}",mack,M,1967
9471,9471,PG65080_text,"Dick Rodney; or, The Adventures of an Eton Boy","Grant, James",1822.0,1887.0,['en'],9,"{'Survival skills -- Juvenile fiction', 'Adventure stories', 'Natural history -- Juvenile fiction', 'Sailors -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Seafaring life -- Juvenile fiction', 'Castaways -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Sea stories'}",james,M,1872
9472,9472,PG65081_text,"Life of Charles T. Walker, D.D.: (""The Black Spurgeon"") Pastor Mt. Olivet Baptist Church, New York City","Floyd, Silas Xavier",1869.0,1923.0,['en'],16,"{'Walker, Charles T. (Charles Thomas), 1858-1921', ""Young Men's Christian Association of the City of New York. Colored Men’s Branch"", 'Mount Olivet Baptist Church (New York, N.Y.)', 'Slavery -- Georgia -- History -- 19th century', 'African Americans -- Religion', 'African American Baptists -- Biography', 'Slaves -- Georgia -- Biography', 'African American clergy -- Biography', 'African Americans -- Biography'}",silas,M,1919
9473,9473,PG65083_text,Race Distinctions in American Law,"Stephenson, Gilbert Thomas",1884.0,1972.0,['en'],14,"{'Law -- United States -- History', 'United States -- Race relations', 'African Americans -- Politics and government'}",gilbert,M,1934
